datetime,gold_price_usd,,,,
01-01-1950,34.73,,,,
01-02-1950,34.73,,,,
01-03-1950,34.73,,,,
01-04-1950,34.73,,,,
01-05-1950,34.73,,,,
01-06-1950,34.73,,,,
01-07-1950,34.73,,,,
01-08-1950,34.73,,,,
01-09-1950,34.73,,,,
01-10-1950,34.73,,,,
01-11-1950,34.73,,,,
01-12-1950,34.72,,,,
01-01-1951,34.72,,,,
01-02-1951,34.73,,,,
01-03-1951,34.73,,,,
01-04-1951,34.73,,,,
01-05-1951,34.73,,,,
01-06-1951,34.73,,,,
01-07-1951,34.72,,,,
01-08-1951,34.71,,,,
01-09-1951,34.71,,,,
01-10-1951,34.71,,,,
01-11-1951,34.73,,,,
01-12-1951,34.66,,,,
01-01-1952,34.49,,,,
01-02-1952,34.49,,,,
01-03-1952,34.68,,,,
01-04-1952,34.82,,,,
01-05-1952,34.73,,,,
01-06-1952,34.53,,,,
01-07-1952,34.57,,,,
01-08-1952,34.58,,,,
01-09-1952,34.51,,,,
01-10-1952,34.63,,,,
01-11-1952,34.72,,,,
01-12-1952,34.79,,,,
01-01-1953,34.88,,,,
01-02-1953,34.95,,,,
01-03-1953,34.92,,,,
01-04-1953,34.93,,,,
01-05-1953,34.9,,,,
01-06-1953,34.89,,,,
01-07-1953,34.91,,,,
01-08-1953,34.91,,,,
01-09-1953,34.76,,,,
01-10-1953,34.79,,,,
01-11-1953,34.86,,,,
01-12-1953,34.85,,,,
01-01-1954,34.86,,,,
01-02-1954,34.88,,,,
01-03-1954,34.92,,,,
01-04-1954,35.04,,,,
01-05-1954,35.08,,,,
01-06-1954,35.07,,,,
01-07-1954,35.08,,,,
01-08-1954,35.05,,,,
01-09-1954,35.08,,,,
01-10-1954,35.08,,,,
01-11-1954,35.06,,,,
01-12-1954,35.04,,,,
01-01-1955,35.04,,,,
01-02-1955,35.05,,,,
01-03-1955,35.06,,,,
01-04-1955,35.05,,,,
01-05-1955,35.05,,,,
01-06-1955,35.04,,,,
01-07-1955,35.05,,,,
01-08-1955,35.03,,,,
01-09-1955,34.98,,,,
01-10-1955,34.98,,,,
01-11-1955,34.98,,,,
01-12-1955,34.97,,,,
01-01-1956,34.99,,,,
01-02-1956,34.99,,,,
01-03-1956,34.99,,,,
01-04-1956,34.98,,,,
01-05-1956,34.99,,,,
01-06-1956,34.98,,,,
01-07-1956,35,,,,
01-08-1956,35.02,,,,
01-09-1956,35.01,,,,
01-10-1956,35.02,,,,
01-11-1956,34.98,,,,
01-12-1956,34.9,,,,
01-01-1957,34.88,,,,
01-02-1957,34.89,,,,
01-03-1957,34.91,,,,
01-04-1957,34.92,,,,
01-05-1957,34.93,,,,
01-06-1957,34.99,,,,
01-07-1957,34.99,,,,
01-08-1957,34.97,,,,
01-09-1957,34.96,,,,
01-10-1957,34.97,,,,
01-11-1957,34.97,,,,
